({'sheep_polar_coor_r': 35.60173428859099, 'sheep_polar_coor_theta': 6.2210381466550775, 'dog_theta': 3.1291560941100434, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350}, 4.650241819860181, -697.5988253808372, {'sheep_polar_coor_r': 37.43757534814353, 'sheep_polar_coor_theta': 0.3203452354762356, 'dog_theta': 3.0834418083957575, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350})
({'sheep_polar_coor_r': 37.43757534814353, 'sheep_polar_coor_theta': 0.3203452354762356, 'dog_theta': 3.0834418083957575, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350}, 1.891141562271132, -699.9600790103361, {'sheep_polar_coor_r': 35.60173428859099, 'sheep_polar_coor_theta': 6.2210381466550775, 'dog_theta': 3.1291560941100434, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350})
({'sheep_polar_coor_r': 35.60173428859099, 'sheep_polar_coor_theta': 6.2210381466550775, 'dog_theta': 3.1291560941100434, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350}, 4.650241819860181, -697.5988253808372, {'sheep_polar_coor_r': 37.43757534814353, 'sheep_polar_coor_theta': 0.3203452354762356, 'dog_theta': 3.0834418083957575, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350})
({'sheep_polar_coor_r': 37.43757534814353, 'sheep_polar_coor_theta': 0.3203452354762356, 'dog_theta': 3.0834418083957575, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350}, 1.891141562271132, -699.9600790103361, {'sheep_polar_coor_r': 35.60173428859099, 'sheep_polar_coor_theta': 6.2210381466550775, 'dog_theta': 3.1291560941100434, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350})
({'sheep_polar_coor_r': 35.60173428859099, 'sheep_polar_coor_theta': 6.2210381466550775, 'dog_theta': 3.1291560941100434, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350}, 4.650241819860181, -697.5988253808372, {'sheep_polar_coor_r': 37.43757534814353, 'sheep_polar_coor_theta': 0.3203452354762356, 'dog_theta': 3.0834418083957575, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350})
({'sheep_polar_coor_r': 37.43757534814353, 'sheep_polar_coor_theta': 0.3203452354762356, 'dog_theta': 3.0834418083957575, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350}, 1.891141562271132, -699.9600790103361, {'sheep_polar_coor_r': 35.60173428859099, 'sheep_polar_coor_theta': 6.2210381466550775, 'dog_theta': 3.1291560941100434, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350})
({'sheep_polar_coor_r': 35.60173428859099, 'sheep_polar_coor_theta': 6.2210381466550775, 'dog_theta': 3.1291560941100434, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350}, 4.650241819860181, -697.5988253808372, {'sheep_polar_coor_r': 37.43757534814353, 'sheep_polar_coor_theta': 0.3203452354762356, 'dog_theta': 3.0834418083957575, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350})
({'sheep_polar_coor_r': 37.43757534814353, 'sheep_polar_coor_theta': 0.3203452354762356, 'dog_theta': 3.0834418083957575, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350}, 1.2608716487884521, -699.7437554538625, {'sheep_polar_coor_r': 43.786701330683535, 'sheep_polar_coor_theta': 0.010933190746418537, 'dog_theta': 3.0377275226814717, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350})
({'sheep_polar_coor_r': 43.786701330683535, 'sheep_polar_coor_theta': 0.010933190746418537, 'dog_theta': 3.0377275226814717, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350}, 1.2097532749176025, -699.176286269169, {'sheep_polar_coor_r': 50.46156714540327, 'sheep_polar_coor_theta': 6.03156014899528, 'dog_theta': 3.0834418083957575, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350})
({'sheep_polar_coor_r': 50.46156714540327, 'sheep_polar_coor_theta': 6.03156014899528, 'dog_theta': 3.0834418083957575, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350}, 4.460763822200384, -699.6195618784388, {'sheep_polar_coor_r': 48.89358259094516, 'sheep_polar_coor_theta': 0.029377536774401594, 'dog_theta': 3.0377275226814717, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350})
({'sheep_polar_coor_r': 48.89358259094516, 'sheep_polar_coor_theta': 0.029377536774401594, 'dog_theta': 3.0377275226814717, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350}, 0.9571815133094788, -699.6943896842864, {'sheep_polar_coor_r': 58.093895640778754, 'sheep_polar_coor_theta': 6.11423934690866, 'dog_theta': 3.0834418083957575, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350})
({'sheep_polar_coor_r': 58.093895640778754, 'sheep_polar_coor_theta': 6.11423934690866, 'dog_theta': 3.0834418083957575, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350}, 4.543443020113763, -699.2230778829561, {'sheep_polar_coor_r': 57.422937499858705, 'sheep_polar_coor_theta': 0.07376380614355262, 'dog_theta': 3.0377275226814717, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350})
({'sheep_polar_coor_r': 57.422937499858705, 'sheep_polar_coor_theta': 0.07376380614355262, 'dog_theta': 3.0377275226814717, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350}, 1.644560132938449, -699.6943896842865, {'sheep_polar_coor_r': 58.09389564077875, 'sheep_polar_coor_theta': 6.11423934690866, 'dog_theta': 3.0834418083957575, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350})
({'sheep_polar_coor_r': 58.09389564077875, 'sheep_polar_coor_theta': 6.11423934690866, 'dog_theta': 3.0834418083957575, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350}, 5.904361248016357, -699.7920264299462, {'sheep_polar_coor_r': 71.28956494410839, 'sheep_polar_coor_theta': 6.186931007148371, 'dog_theta': 3.1291560941100434, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350})
({'sheep_polar_coor_r': 71.28956494410839, 'sheep_polar_coor_theta': 6.186931007148371, 'dog_theta': 3.1291560941100434, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350}, 4.6161346803534755, -699.2561872927165, {'sheep_polar_coor_r': 71.31875388008083, 'sheep_polar_coor_theta': 0.10040400889810092, 'dog_theta': 3.0834418083957575, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350})
({'sheep_polar_coor_r': 71.31875388008083, 'sheep_polar_coor_theta': 0.10040400889810092, 'dog_theta': 3.0834418083957575, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350}, 1.6712003356929976, -699.7920264299463, {'sheep_polar_coor_r': 71.2895649441084, 'sheep_polar_coor_theta': 6.186931007148371, 'dog_theta': 3.1291560941100434, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350})
({'sheep_polar_coor_r': 71.2895649441084, 'sheep_polar_coor_theta': 6.186931007148371, 'dog_theta': 3.1291560941100434, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350}, 4.6161346803534755, -699.2561872927165, {'sheep_polar_coor_r': 71.31875388008085, 'sheep_polar_coor_theta': 0.10040400889810087, 'dog_theta': 3.0834418083957575, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350})
({'sheep_polar_coor_r': 71.31875388008085, 'sheep_polar_coor_theta': 0.10040400889810087, 'dog_theta': 3.0834418083957575, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350}, 1.6712003356929976, -699.7920264299463, {'sheep_polar_coor_r': 71.28956494410842, 'sheep_polar_coor_theta': 6.186931007148371, 'dog_theta': 3.1291560941100434, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350})
({'sheep_polar_coor_r': 71.28956494410842, 'sheep_polar_coor_theta': 6.186931007148371, 'dog_theta': 3.1291560941100434, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350}, 4.6161346803534755, -699.2561872927166, {'sheep_polar_coor_r': 71.31875388008086, 'sheep_polar_coor_theta': 0.10040400889810083, 'dog_theta': 3.0834418083957575, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350})
({'sheep_polar_coor_r': 71.31875388008086, 'sheep_polar_coor_theta': 0.10040400889810083, 'dog_theta': 3.0834418083957575, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350}, 1.6712003356929976, -699.7920264299463, {'sheep_polar_coor_r': 71.28956494410842, 'sheep_polar_coor_theta': 6.186931007148371, 'dog_theta': 3.1291560941100434, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350})
({'sheep_polar_coor_r': 71.28956494410842, 'sheep_polar_coor_theta': 6.186931007148371, 'dog_theta': 3.1291560941100434, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350}, 4.6161346803534755, -699.2561872927166, {'sheep_polar_coor_r': 71.31875388008086, 'sheep_polar_coor_theta': 0.10040400889810083, 'dog_theta': 3.0834418083957575, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350})
({'sheep_polar_coor_r': 71.31875388008086, 'sheep_polar_coor_theta': 0.10040400889810083, 'dog_theta': 3.0834418083957575, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350}, 1.6712003356929976, -699.7920264299463, {'sheep_polar_coor_r': 71.28956494410842, 'sheep_polar_coor_theta': 6.186931007148371, 'dog_theta': 3.1291560941100434, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350})
({'sheep_polar_coor_r': 71.28956494410842, 'sheep_polar_coor_theta': 6.186931007148371, 'dog_theta': 3.1291560941100434, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350}, 4.6161346803534755, -699.2561872927166, {'sheep_polar_coor_r': 71.31875388008086, 'sheep_polar_coor_theta': 0.10040400889810083, 'dog_theta': 3.0834418083957575, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350})
({'sheep_polar_coor_r': 71.31875388008086, 'sheep_polar_coor_theta': 0.10040400889810083, 'dog_theta': 3.0834418083957575, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350}, 1.499273657798767, -699.8154075736211, {'sheep_polar_coor_r': 73.65506316149607, 'sheep_polar_coor_theta': 6.192845542527835, 'dog_theta': 3.1291560941100434, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350})
({'sheep_polar_coor_r': 73.65506316149607, 'sheep_polar_coor_theta': 6.192845542527835, 'dog_theta': 3.1291560941100434, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350}, 4.62204921573294, -699.2399933087637, {'sheep_polar_coor_r': 73.72252151861221, 'sheep_polar_coor_theta': 0.09993313092609235, 'dog_theta': 3.0834418083957575, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350})
({'sheep_polar_coor_r': 73.72252151861221, 'sheep_polar_coor_theta': 0.09993313092609235, 'dog_theta': 3.0834418083957575, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350}, 1.6707294577209888, -699.8154075736211, {'sheep_polar_coor_r': 73.65506316149607, 'sheep_polar_coor_theta': 6.192845542527835, 'dog_theta': 3.1291560941100434, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350})
({'sheep_polar_coor_r': 73.65506316149607, 'sheep_polar_coor_theta': 6.192845542527835, 'dog_theta': 3.1291560941100434, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350}, 4.62204921573294, -699.2399933087637, {'sheep_polar_coor_r': 73.72252151861221, 'sheep_polar_coor_theta': 0.09993313092609235, 'dog_theta': 3.0834418083957575, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350})
({'sheep_polar_coor_r': 73.72252151861221, 'sheep_polar_coor_theta': 0.09993313092609235, 'dog_theta': 3.0834418083957575, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350}, 0.11783329397439957, -698.8021321796651, {'sheep_polar_coor_r': 87.64089661347, 'sheep_polar_coor_theta': 0.08115253797949668, 'dog_theta': 3.0377275226814717, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350})
({'sheep_polar_coor_r': 87.64089661347, 'sheep_polar_coor_theta': 0.08115253797949668, 'dog_theta': 3.0377275226814717, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350}, 1.6519488647743934, -699.8243782135246, {'sheep_polar_coor_r': 87.6242055523276, 'sheep_polar_coor_theta': 6.204409587768614, 'dog_theta': 2.992013236967186, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350})
({'sheep_polar_coor_r': 87.6242055523276, 'sheep_polar_coor_theta': 6.204409587768614, 'dog_theta': 2.992013236967186, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350}, 4.633613260973718, -697.330639382302, {'sheep_polar_coor_r': 87.64089661347, 'sheep_polar_coor_theta': 0.08115253797949677, 'dog_theta': 2.9462989512529, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350})
({'sheep_polar_coor_r': 87.64089661347, 'sheep_polar_coor_theta': 0.08115253797949677, 'dog_theta': 2.9462989512529, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350}, 0.9436318874359131, -698.4214372223847, {'sheep_polar_coor_r': 96.52474990180137, 'sheep_polar_coor_theta': 6.246627649967878, 'dog_theta': 2.9005846655386143, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350})
({'sheep_polar_coor_r': 96.52474990180137, 'sheep_polar_coor_theta': 6.246627649967878, 'dog_theta': 2.9005846655386143, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350}, 4.675831323172982, -694.1155473226536, {'sheep_polar_coor_r': 97.02703348031717, 'sheep_polar_coor_theta': 0.10814002297667019, 'dog_theta': 2.8548703798243285, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350})
({'sheep_polar_coor_r': 97.02703348031717, 'sheep_polar_coor_theta': 0.10814002297667019, 'dog_theta': 2.8548703798243285, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350}, 1.6789363497715666, -696.7001343427626, {'sheep_polar_coor_r': 96.52474990180139, 'sheep_polar_coor_theta': 6.246627649967878, 'dog_theta': 2.8091560941100426, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350})
({'sheep_polar_coor_r': 96.52474990180139, 'sheep_polar_coor_theta': 6.246627649967878, 'dog_theta': 2.8091560941100426, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350}, 5.723988056182861, -693.0760255877772, {'sheep_polar_coor_r': 108.64644271320341, 'sheep_polar_coor_theta': 0.03185580495363859, 'dog_theta': 2.763441808395757, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350})
({'sheep_polar_coor_r': 108.64644271320341, 'sheep_polar_coor_theta': 0.03185580495363859, 'dog_theta': 2.763441808395757, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350}, 1.6026521317485347, -695.5682430819776, {'sheep_polar_coor_r': 109.10159186227033, 'sheep_polar_coor_theta': 6.186431196112807, 'dog_theta': 2.717727522681471, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350})
({'sheep_polar_coor_r': 109.10159186227033, 'sheep_polar_coor_theta': 6.186431196112807, 'dog_theta': 2.717727522681471, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350}, 4.61563486931791, -689.677108880972, {'sheep_polar_coor_r': 108.64644271320341, 'sheep_polar_coor_theta': 0.031855804953638184, 'dog_theta': 2.672013236967185, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350})
({'sheep_polar_coor_r': 108.64644271320341, 'sheep_polar_coor_theta': 0.031855804953638184, 'dog_theta': 2.672013236967185, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350}, 1.6026521317485347, -692.7636331337512, {'sheep_polar_coor_r': 109.10159186227033, 'sheep_polar_coor_theta': 6.186431196112807, 'dog_theta': 2.6262989512528994, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350})
({'sheep_polar_coor_r': 109.10159186227033, 'sheep_polar_coor_theta': 6.186431196112807, 'dog_theta': 2.6262989512528994, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350}, 4.61563486931791, -685.6257037062898, {'sheep_polar_coor_r': 108.64644271320341, 'sheep_polar_coor_theta': 0.031855804953638184, 'dog_theta': 2.5805846655386135, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350})
({'sheep_polar_coor_r': 108.64644271320341, 'sheep_polar_coor_theta': 0.031855804953638184, 'dog_theta': 2.5805846655386135, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350}, 0.6740800738334656, -685.8779890862464, {'sheep_polar_coor_r': 119.90323687964542, 'sheep_polar_coor_theta': 6.242096807326828, 'dog_theta': 2.5348703798243277, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350})
({'sheep_polar_coor_r': 119.90323687964542, 'sheep_polar_coor_theta': 6.242096807326828, 'dog_theta': 2.5348703798243277, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350}, 6.121456623077393, -681.1591573826593, {'sheep_polar_coor_r': 133.73954366176466, 'sheep_polar_coor_theta': 6.258953831904795, 'dog_theta': 2.489156094110042, 'sheep_v': 70, 'dog_v': 16.0, 'circle_R': 350})
